pos	campo	tipo	nulos	ceros
1	numero_de_cliente	integer	0	0
2	foto_mes	integer	0	0
3	active_quarter	integer	0	3891
4	cliente_vip	integer	0	329004
5	internet	integer	0	319844
6	cliente_edad	integer	0	0
7	cliente_antiguedad	integer	0	0
8	mrentabilidad	numeric	0	538
9	mrentabilidad_annual	numeric	0	483
10	mcomisiones	numeric	0	9063
11	mactivos_margen	numeric	0	13728
12	mpasivos_margen	numeric	0	4111
13	cproductos	integer	0	0
14	tcuentas	integer	0	0
15	ccuenta_corriente	integer	0	0
16	mcuenta_corriente_adicional	numeric	0	329745
17	mcuenta_corriente	numeric	0	167253
18	ccaja_ahorro	integer	0	0
19	mcaja_ahorro	numeric	0	20197
20	mcaja_ahorro_adicional	numeric	0	322238
21	mcaja_ahorro_dolares	numeric	0	145948
22	cdescubierto_preacordado	integer	0	14256
23	mcuentas_saldo	numeric	0	1943
24	ctarjeta_debito	integer	0	169
25	ctarjeta_debito_transacciones	integer	0	91721
26	mautoservicio	numeric	0	91721
27	ctarjeta_visa	integer	0	17398
28	ctarjeta_visa_transacciones	integer	0	46085
29	mtarjeta_visa_consumo	numeric	0	46085
30	ctarjeta_master	integer	0	33961
31	ctarjeta_master_transacciones	integer	0	198815
32	mtarjeta_master_consumo	numeric	0	198815
33	cprestamos_personales	integer	0	260993
34	mprestamos_personales	numeric	0	260993
35	cprestamos_prendarios	integer	0	327002
36	mprestamos_prendarios	numeric	0	326992
37	cprestamos_hipotecarios	integer	0	326705
38	mprestamos_hipotecarios	numeric	0	326705
39	cplazo_fijo	integer	0	284901
40	mplazo_fijo_dolares	numeric	0	285363
41	mplazo_fijo_pesos	numeric	0	328450
42	cinversion1	integer	0	314645
43	minversion1_pesos	numeric	0	315239
44	minversion1_dolares	numeric	0	328889
45	cinversion2	integer	0	319323
46	minversion2	numeric	0	319350
47	cseguro_vida	integer	0	292358
48	cseguro_auto	integer	0	319173
49	cseguro_vivienda	integer	0	288203
50	cseguro_accidentes_personales	integer	0	285375
51	ccaja_seguridad	integer	0	307812
52	cpayroll_trx	integer	0	146644
53	mpayroll	numeric	0	148543
54	mpayroll2	numeric	0	329670
55	cpayroll2_trx	integer	0	329670
56	ccuenta_debitos_automaticos	integer	0	169543
57	mcuenta_debitos_automaticos	numeric	0	169543
58	ctarjeta_visa_debitos_automaticos	integer	0	111286
59	mttarjeta_visa_debitos_automaticos	numeric	0	111286
60	ctarjeta_master_debitos_automaticos	integer	0	278064
61	mttarjeta_master_debitos_automaticos	numeric	0	278064
62	cpagodeservicios	integer	0	327009
63	mpagodeservicios	numeric	0	327009
