pos	campo	tipo	nulos	ceros
1	Record_ID	integer	0	0
2	numero_de_cliente	integer	0	0
3	foto_mes	integer	0	0
4	active_quarter	integer	0	0
5	cliente_vip	integer	0	50
6	internet	integer	0	50
7	cliente_edad	integer	0	0
8	cliente_antiguedad	integer	0	0
9	mrentabilidad	numeric	0	0
10	mrentabilidad_annual	numeric	0	0
11	mcomisiones	numeric	0	0
12	mactivos_margen	numeric	0	2
13	mpasivos_margen	numeric	0	0
14	cproductos	integer	0	0
15	tcuentas	integer	0	0
16	ccuenta_corriente	integer	0	0
17	mcuenta_corriente_adicional	integer	0	50
18	mcuenta_corriente	numeric	0	30
19	ccaja_ahorro	integer	0	0
20	mcaja_ahorro	numeric	0	2
21	mcaja_ahorro_adicional	numeric	0	48
22	mcaja_ahorro_dolares	numeric	0	17
23	cdescubierto_preacordado	integer	0	0
24	mcuentas_saldo	numeric	0	0
25	ctarjeta_debito	integer	0	0
26	ctarjeta_debito_transacciones	integer	0	22
27	mautoservicio	numeric	0	22
28	ctarjeta_visa	integer	0	1
29	ctarjeta_visa_transacciones	integer	0	3
30	mtarjeta_visa_consumo	numeric	0	3
31	ctarjeta_master	integer	0	9
32	ctarjeta_master_transacciones	integer	0	28
33	mtarjeta_master_consumo	numeric	0	28
34	cprestamos_personales	integer	0	44
35	mprestamos_personales	numeric	0	36
36	cprestamos_prendarios	integer	0	50
37	mprestamos_prendarios	integer	0	50
38	cprestamos_hipotecarios	integer	0	48
39	mprestamos_hipotecarios	numeric	0	48
40	cplazo_fijo	integer	0	42
41	mplazo_fijo_dolares	numeric	0	42
42	mplazo_fijo_pesos	integer	0	50
43	cinversion1	integer	0	48
44	minversion1_pesos	numeric	0	48
45	minversion1_dolares	integer	0	50
46	cinversion2	integer	0	46
47	minversion2	numeric	0	46
48	cseguro_vida	integer	0	48
49	cseguro_auto	integer	0	44
50	cseguro_vivienda	integer	0	36
51	cseguro_accidentes_personales	integer	0	44
52	ccaja_seguridad	integer	0	41
53	cpayroll_trx	integer	0	34
54	mpayroll	numeric	0	36
55	mpayroll2	integer	0	50
56	cpayroll2_trx	integer	0	50
57	ccuenta_debitos_automaticos	integer	0	21
58	mcuenta_debitos_automaticos	numeric	0	21
59	ctarjeta_visa_debitos_automaticos	integer	0	7
60	mttarjeta_visa_debitos_automaticos	numeric	0	7
61	ctarjeta_master_debitos_automaticos	integer	0	33
62	mttarjeta_master_debitos_automaticos	numeric	0	33
63	cpagodeservicios	integer	0	50
64	mpagodeservicios	integer	0	50
65	cpagomiscuentas	integer	0	22
66	mpagomiscuentas	numeric	0	22
67	ccajeros_propios_descuentos	integer	0	50
68	mcajeros_propios_descuentos	integer	0	50
69	ctarjeta_visa_descuentos	integer	0	43
70	mtarjeta_visa_descuentos	numeric	5	43
71	ctarjeta_master_descuentos	integer	0	48
72	mtarjeta_master_descuentos	integer	1	49
73	ccomisiones_mantenimiento	integer	0	31
74	mcomisiones_mantenimiento	numeric	0	31
75	ccomisiones_otras	integer	0	0
76	mcomisiones_otras	numeric	0	0
77	cforex	integer	0	46
78	cforex_buy	integer	0	50
79	mforex_buy	integer	0	50
80	cforex_sell	integer	0	46
81	mforex_sell	numeric	0	46
82	ctransferencias_recibidas	integer	0	11
83	mtransferencias_recibidas	numeric	0	11
84	ctransferencias_emitidas	integer	0	19
85	mtransferencias_emitidas	numeric	0	19
86	cextraccion_autoservicio	integer	0	30
87	mextraccion_autoservicio	numeric	0	30
88	ccheques_depositados	integer	0	47
89	mcheques_depositados	numeric	0	47
90	ccheques_emitidos	integer	0	49
91	mcheques_emitidos	integer	0	49
92	ccheques_depositados_rechazados	integer	0	50
93	mcheques_depositados_rechazados	integer	0	50
94	ccheques_emitidos_rechazados	integer	0	50
95	mcheques_emitidos_rechazados	integer	0	50
